Number,Category,Action_needed,Question,Subcategory,Action,Time,Sentence
473,weather,1,1,myplace,none,tonight,Will it be so cold that water freezes tonight?
474,weather,1,1,myplace,none,today,Will it be so cold that water freezes today?
475,weather,1,1,myplace,none,now,Is it freezing?
476,weather,1,1,myplace,none,now,Is it going to freeze?
477,weather,1,1,place,none,now,Is it freezing in Leuven?
478,weather,1,1,myplace,none,tomorrow,Do you think it will freeze tomorrow?
479,heating,1,1,bathroom,on,none,Can you turn on the heating in the bathroom when it freezes outside?
480,heating,1,0,library,off,none,Turn off the heating in the library when the outdoor temperature climbs above 20 degrees.
481,heating,1,0,library,off,none,Turn off the heating in the library when the outdoor temperature climbs above 20 degrees fahrenheit.
482,heating,0,0,none,none,now,Don't do anything with the heating.
483,heating,0,0,none,none,now,If you want to turn the heating on please don't.
484,heating,1,0,toilet,on,none,Turn on the heating when the outside temperature falls below 5 degrees celsius.
485,heating,1,0,toilet,on,none,Turn on the heating when the outside temperature falls below 0 degrees centigrade.
486,heating,1,1,bathroom,on,hour,Can you turn on the heating in the bathroom in an hour?
487,heating,1,1,attic,on,hour,Can you turn on the heating in the attic in an hour?
488,heating,1,1,diningroom,on,hour,Can you turn on the heating in the dining room in an hour?
489,heating,1,1,basement,on,hour,Can you turn on the heating in the basement in an hour?
490,heating,1,1,library,on,hour,Can you turn on the heating in the library in an hour?
491,heating,1,1,kitchen,on,hour,Can you turn on the heating in the kitchen in an hour?
492,heating,1,1,toilet,on,hour,Can you turn on the heating in the toilet in an hour?
493,heating,1,1,bathroom,on,now,It is a little cold in the bathroom.
494,heating,1,1,attic,on,now,It is a little cold in the attic.
495,heating,1,1,diningroom,on,now,It is a little cold in the dining room.
496,heating,1,1,basement,on,now,It is a little cold in the basement.
497,heating,1,1,library,on,now,It is a little cold in the library.
498,heating,1,1,kitchen,on,now,It is a little cold in the kitchen.
499,heating,1,1,toilet,on,now,It is a little cold in the toilet.
500,heating,0,0,none,none,now,Don't turn on the heating now.
501,heating,1,1,basement,off,hour,Can you turn the heating in the basement lower in an hour?
502,heating,1,1,cellar,off,hour,Can you turn the heating in the cellar lower in an hour?
503,heating,1,1,kitchen,off,hour,Can you turn the heating in the kitchen lower in an hour?
504,heating,1,1,toilet,off,hour,Can you turn the heating in the toilet lower in an hour?
505,heating,1,1,attic,off,hour,Can you turn the heating in the attic lower in an hour?
506,heating,1,1,kitchen,off,hour,Can you turn the heating in the kitchen lower in an hour?
507,heating,1,1,diningroom,off,hour,Can you turn the heating in the diningroom lower in an hour?
508,heating,1,0,bathroom,on,now,It is cold in the bathroom.
509,heating,1,0,attic,on,now,It is cold in the attic.
510,heating,1,0,diningroom,on,now,It is cold in the dining room.
511,heating,1,0,basement,on,now,It is cold in the basement.
512,heating,1,0,library,on,now,It is cold in the library.
513,heating,1,0,kitchen,on,now,It is cold in the kitchen.
514,heating,1,0,toilet,on,now,It is cold in the toilet.
515,heating,1,0,bathroom,off,now,It is hot in the bathroom.
516,heating,1,0,attic,off,now,It is hot in the attic.
517,heating,1,0,diningroom,off,now,It is hot in the dining room.
518,heating,1,0,basement,off,now,It is hot in the basement.
519,heating,1,0,library,off,now,It is hot in the library.
520,heating,1,0,kitchen,off,now,It is hot in the kitchen.
521,heating,1,0,toilet,off,now,It is hot in the toilet.
522,heating,1,1,kitchen,on,minute,Can you turn on the heating in the kitchen in 10 minutes for me please?
523,heating,1,1,livingroom,on,minute,Can you turn on the heating in the living room in 11 minutes for me please?
524,heating,1,1,livingroom,on,minute,Can you turn on the heating in the living room in 5 minutes for me please?
525,heating,1,1,livingroom,on,minute,Can you turn on the heating in the living room in a minute for me please?
526,heating,1,1,livingroom,on,minute,Can you turn on the heating in the living room in 2 minutes for me please?
527,heating,1,1,livingroom,on,minute,Can you turn on the heating in the living room in 1 minute for me please?
528,heating,1,1,livingroom,on,minute,Can you turn on the heating in the living room in a minute for me please?
529,heating,1,1,library,on,minute,Can you turn on the heating in the library in 11 minutes for me please?
530,heating,1,1,library,on,minute,Can you turn on the heating in the library in 5 minutes for me please?
531,heating,1,0,toilet,off,hour,Turn the heating off in the bathroom in an hour.
532,heating,0,0,none,off,hour,Don't turn off the heating in an hour.
533,heating,1,0,cellar,on,now,Make it less cold in the cellar.
534,heating,1,0,basement,off,now,Make it colder in the basement.
535,heating,1,1,bathroom,on,now,Can you turn the heating higher in the bathroom?
536,shutters,1,0,livingroom,down,now,Lower the shutters in the living room.
537,shutters,1,0,kitchen,down,now,Lower the shutters in the kitchen.
538,shutters,1,0,library,down,now,Lower the shutters in the library.
539,shutters,1,0,basement,down,now,Lower the shutters in the basement.
540,shutters,1,0,cellar,down,now,Lower the shutters in the cellar.
541,shutters,1,0,bathroom,down,now,Lower the shutters in the bathroom.
542,shutters,1,0,toilet,down,now,Lower the shutters in the toilet.
543,shutters,1,0,livingroom,up,now,Raise the shutters in the living room.
544,shutters,1,0,kitchen,up,now,Raise the shutters in the kitchen.
545,shutters,1,0,library,up,now,Raise the shutters in the library.
546,shutters,1,0,basement,up,now,Raise the shutters in the basement.
547,shutters,1,0,cellar,up,now,Raise the shutters in the cellar.
548,shutters,1,0,bathroom,up,now,Raise the shutters in the bathroom.
549,shutters,1,0,toilet,up,now,Raise the shutters in the toilet.
550,shutters,0,0,none,none,now,Don't do anything with the shutters.
551,shutters,1,0,toilet,down,now,The sun is blinding me in the toilet.
552,shutters,1,0,none,down,now,Turn down the window shutters.
553,shutters,1,0,none,up,minute,Open the window shutters in a minute for me please.
554,shutters,1,0,basement,down,hour,Let the shutters down in the basement in an hour.
555,shutters,1,1,kitchen,down,now,Shut the shutters in the kitchen.
556,shutters,1,1,none,down,minute,Shut the shutters in a minute.
557,shutters,1,0,library,down,now,It is too light in the library.
558,shutters,1,0,basement,down,none,Let the shutters down in the basement when it is light outside.
559,shutters,1,0,basement,down,none,Open up the shutters in the library when it is light outside.
560,shutters,1,0,kitchen,down,now,It is too bright in the kitchen.
561,shutters,1,0,bathroom,down,none,Shut down the shutters when it gets too hot in the bathroom.
562,shutters,1,0,basement,up,none,Open up the shutters when it gets below 10 degrees fahrenheit.
563,shutters,0,0,kitchen,none,none,Don't do anything when it gets hot in the kitchen.
564,toaster,0,0,bathroom,none,now,I will not like it when you turn on the toaster right now.
565,toaster,1,1,kitchen,on,now,Can you turn on the toaster for me please?
566,toaster,1,0,kitchen,off,now,Turn off the toaster for me please.
567,toaster,0,0,kitchen,off,hour,Don't turn off the toaster in an hour.
568,toaster,0,0,kitchen,off,minute,Don't turn off the toaster in a minute.
569,toaster,1,0,kitchen,on,month,Turn on the toaster in a month.
570,toaster,1,0,kitchen,on,minute,Turn on the toaster in a minute.
571,toaster,1,0,kitchen,on,day,Turn on the toaster in a day.
572,toaster,1,0,kitchen,off,hour,Turn off the toaster in an hour.
573,toaster,1,0,kitchen,off,minute,Turn off the toaster in a minute.
574,toaster,1,0,kitchen,off,day,Turn off the toaster in a day.
575,toaster,1,0,kitchen,off,hour,Turn off the toaster in an hour.
576,toaster,1,0,kitchen,on,now,Make the toaster warm.
577,toaster,1,0,kitchen,off,now,Make the toaster cold.
578,toaster,1,0,kitchen,off,now,Make sure the toaster gets gradually colder.
579,toaster,1,0,kitchen,off,hour,Shut off the electricity to the toaster in an hour for me.
580,toaster,1,0,kitchen,off,day,Shut off the electricity to the toaster in a day for me.
581,toaster,1,1,kitchen,none,now,How long before my toast will be ready?
582,toaster,1,1,kitchen,none,now,How long before I will get my toast?
583,toaster,1,1,kitchen,on,hour,Could you make me some toast in an hour?
584,toaster,1,1,kitchen,none,now,How long has the toaster been on?
585,toaster,1,1,kitchen,on,today,Could you make me some toast today?
586,toaster,1,1,kitchen,on,yesterday,Could you make me some toast yesterday?
587,toaster,0,0,kitchen,none,now,Don't turn on the toaster.
588,toaster,1,0,kitchen,off,now,Power down the toaster.
589,toaster,1,0,kitchen,off,hour,Power down the toaster in an hour.
590,toaster,1,0,bathroom,off,hour,Power down the toaster in the bathroom in an hour.
591,toaster,1,0,library,off,hour,Power down the toaster in the library in an hour.
592,toaster,1,0,livingroom,off,day,Power down the toaster in the living room in a day.
593,toaster,1,0,kitchen,on,none,Turn on the toaster when it is 6 AM.
594,toaster,1,1,kitchen,on,none,Can you turn on the toaster when I wake up.
595,toaster,1,1,library,on,none,Can you turn on the toaster when the sun rises.
596,garagedoor,1,1,garage,up,none,Can you open up the garage door when I get home for me please?
597,garagedoor,1,0,garage,down,now,Let the garage door down now.
598,garagedoor,1,1,garage,up,hour,Can you open the garage door in an hour?
599,garagedoor,1,0,garage,down,day,Close the garage door in a day for me please.
600,garagedoor,1,0,garage,down,hour,Shut down the garage door in an hour for me.
601,garagedoor,1,1,garage,down,tomorrow,Can you put the garage door down tomorrow?
602,garagedoor,1,1,garage,down,tomorrow,Can you put the garage door down yesterday?
603,garagedoor,1,1,garage,up,tomorrow,Can you put the garage door up tomorrow?
604,garagedoor,1,1,garage,up,yesterday,Can you put the garage door up yesterday?
605,garagedoor,1,0,garage,down,minute,Shut down the garage door in a minute for me.
606,garagedoor,1,0,garage,down,day,Shut down the garage door in an day for me.
607,garagedoor,1,0,garage,up,minute,Open up the garage door in a minute for me.
608,garagedoor,1,0,garage,up,day,Open up the garage door in an day for me.
609,garagedoor,1,0,garage,up,now,Make sure my car can get out the garage.
610,garagedoor,1,1,garage,up,now,Will you make sure my car doesn't hit the garage door?
611,garagedoor,1,0,garage,down,minute,Shut down the garage door in 21 minutes for me.
612,garagedoor,1,0,garage,down,minute,Shut down the garage door in 15 minutes for me.
613,garagedoor,1,0,garage,down,minute,Shut down the garage door in fourteen minutes for me.
614,garagedoor,1,0,garage,down,minute,Shut down the garage door in sixteen minutes for me.
615,garagedoor,0,0,garage,down,minute,Don't shut down the garage door in 43 minutes for me.
616,garagedoor,0,0,garage,down,minute,Don't shut down the garage door in 112 minutes for me.
617,garagedoor,0,0,garage,down,minute,Don't shut down the garage door in eighteen minutes for me.
618,garagedoor,0,0,garage,down,minute,Don't shut down the garage door in sixteen minutes for me.
619,garagedoor,1,1,garage,none,now,Can you please stop doing something to the garage door?
620,garagedoor,1,1,garage,up,now,Can you please stop letting the garage door down?
621,garagedoor,1,1,garage,down,none,Shut the garage door when I get home.
622,garagedoor,1,0,garage,off,now,Power down the garage door.
623,garagedoor,1,0,garage,off,minute,Power down the garage door in a minute.
624,garagedoor,1,0,garage,off,hour,Power down the garage door in an hour.
625,garagedoor,1,0,garage,off,day,Power down the garage door in six days.
626,coffeemachine,1,1,kitchen,on,none,Can you turn on the coffee machine when I wake up?
627,coffeemachine,0,0,kitchen,none,none,Don't do anything when I wake up.
628,coffeemachine,1,0,kitchen,on,now,Turn on the coffee machine for me.
629,coffeemachine,1,1,kitchen,off,minute,Can you turn off the coffee machine in a minute?
630,coffeemachine,1,1,kitchen,none,now,How long before the coffee machine will be done?
631,coffeemachine,1,1,kitchen,none,now,How long before my coffee is ready?
632,coffeemachine,1,0,kitchen,off,now,Cut off electricity to my coffee machine.
633,coffeemachine,1,0,kitchen,on,now,Give power to my cofeemachine.
634,coffeemachine,1,0,kitchen,on,now,Let the coffee flow!
635,coffeemachine,1,1,kitchen,on,now,Could you get me some coffee?
636,coffeemachine,1,1,kitchen,on,hour,Could you give me some coffee in an hour?
637,coffeemachine,1,1,kitchen,none,now,How long has the coffee machine been running?
638,coffeemachine,1,0,kitchen,on,none,Turn on the coffeemachine when I get home.
639,coffeemachine,1,1,livingroom,on,now,Power up the coffee machine in the living room for me.
640,coffeemachine,1,1,bathroom,off,now,Turn down the coffee machine in the bathroom.
641,coffeemachine,1,1,kitchen,on,now,Give me coffee.
642,coffeemachine,0,0,kitchen,none,now,Don't give me any coffee.
643,coffeemachine,0,0,kitchen,none,now,Don't turn on the coffee machine.
644,coffeemachine,0,0,kitchen,none,now,Don't do anything to the coffee machine.
645,coffeemachine,1,0,kitchen,off,now,Cut off the electricity of the coffee machine.
646,coffeemachine,1,0,kitchen,off,now,Power down the coffeemachine.
647,coffeemachine,1,0,kitchen,off,hour,Power down the coffeemachine in an hour.
648,coffeemachine,1,0,bathroom,off,hour,Power down the coffeemachine in the bathroom in an hour.
649,coffeemachine,1,0,attic,off,day,Power down the coffeemachine in the attic in six days.
650,coffeemachine,1,0,kitchen,on,none,Turn on the coffeemachine when it is six AM.
651,coffeemachine,1,0,kitchen,on,none,Turn off the coffeemachine when the coffee is done.
652,time,1,1,none,none,now,What time is it?
653,time,1,1,none,none,now,What does the clock say?
654,time,0,0,none,none,now,I don't want to know what time it is.
655,time,1,1,none,none,now,Do you know what time it is?
656,time,1,1,none,none,now,Do you want tot tell me the time?
657,time,1,0,none,none,now,Don't tell me the time.
658,time,1,0,none,none,minute,Tell me the time in 4 minutes.
659,time,0,0,none,none,now,Time.
660,time,0,0,none,none,now,I don't want you to tell me the time.
661,time,1,0,none,none,hour,Tell me the time in an hour.
662,time,1,0,none,none,day,Tell me the time in a day.
663,time,1,0,none,none,now,What does te clock say?
